,출근출발_EE,출근출발_EH,출근출발_EW,출근출발_HE,출근출발_HH,출근출발_HW,출근출발_WE,출근출발_WH,출근출발_WW,출근도착_EE,출근도착_EH,출근도착_EW,출근도착_HE,출근도착_HH,출근도착_HW,출근도착_WE,출근도착_WH,출근도착_WW,퇴근출발_EE,퇴근출발_EH,퇴근출발_EW,퇴근출발_HE,퇴근출발_HH,퇴근출발_HW,퇴근출발_WE,퇴근출발_WH,퇴근출발_WW,퇴근도착_EE,퇴근도착_EH,퇴근도착_EW,퇴근도착_HE,퇴근도착_HH,퇴근도착_HW,퇴근도착_WE,퇴근도착_WH,퇴근도착_WW,읍면동
196,6214,3713,3134,31529,2048,128764,2406,1919,2634,5297,4340,3308,25198,2455,72462,2433,3025,2721,27755,41779,5736,27383,4422,9000,13859,43978,5134,33634,44697,6922,25999,4065,8310,19300,78041,6217,석촌동
197,5543,4597,2611,24510,1738,84385,2637,2026,2137,5622,3899,3216,26647,2556,95790,2545,2327,2924,20347,36307,4704,21079,5118,6360,16562,55842,5120,19430,38331,5756,18684,4204,5294,12092,51244,4097,성내1동
198,5075,2796,2431,30362,2867,101028,1951,1619,2316,4061,4468,2301,21495,2251,48147,1891,3032,2086,24033,40453,4999,20924,6035,8133,8656,33654,4554,27227,41425,4953,24995,6195,6477,22194,61339,6132,성내2동
199,7717,6503,4712,35202,2233,120222,2832,2538,3089,7548,5206,3798,34264,2462,94581,3239,3091,3427,29316,54960,7681,25797,5534,8718,16151,59668,6578,33758,47431,6589,35171,4511,9735,24300,74576,7371,성내3동
200,5031,3074,3368,31914,1426,96431,2172,1612,2221,5074,4305,2196,23655,1482,64871,2157,2096,1822,24488,41231,4961,24268,3173,6630,10747,36708,3636,23702,49066,4559,18748,3327,3837,13415,54994,3805,성북동
201,4222,2607,1844,25538,1464,88659,2162,1166,1419,3795,3077,2201,17735,1416,74043,1356,1653,1737,17911,24775,3881,25849,3219,6946,14457,40914,4607,17414,41210,5883,13698,3630,4617,9440,54643,3431,성산1동
202,6465,5830,5103,35681,1508,141459,2411,2514,2526,5810,4462,2644,31430,1508,59560,3101,2774,1835,25176,55508,6868,29777,2863,8059,11617,35937,2966,30955,53199,4999,29047,2709,5228,19652,83964,3986,성산2동
203,4188,3292,3846,15416,1063,55742,3008,1649,2291,4338,2214,3166,22393,1035,91643,2132,1048,2269,31392,28856,5168,13742,1527,3647,20565,53026,5607,26203,25150,5301,15201,2010,3583,16107,34245,3923,성수1가1동
204,4409,2965,3456,15399,1014,56215,2010,1362,2589,4754,2048,4301,25523,855,134045,2504,1413,3036,42222,37423,7271,11665,1532,3302,30134,79429,6941,31882,21444,6184,18354,1597,4627,22569,35038,6627,성수1가2동
205,4125,1455,1930,17590,1012,60250,3259,1410,2227,3851,2638,4829,17271,936,124879,2031,1777,3294,27452,31755,5984,12459,2213,4475,24228,76851,8563,25781,22206,6126,16416,1875,4097,14338,36814,4479,성수2가1동
206,7849,3942,5586,17865,1678,63259,5751,4628,4387,8644,2724,11176,51114,2024,416455,4482,1528,7627,67013,59945,12704,15897,2638,4646,79072,253692,18088,53507,28592,15486,31865,2606,11193,39544,39019,11231,성수2가3동
207,3286,1269,994,29233,1590,101284,1003,803,1211,1897,3043,1094,8210,1184,21608,674,2050,1060,7905,13196,1493,19613,2807,5262,3574,13467,1878,8990,41894,2679,6047,3769,2041,2911,57362,2452,성현동
208,5326,1664,4061,40200,519,143507,3189,1334,1654,4892,4240,2978,17769,511,41011,3096,2552,1993,15653,21736,4282,32260,365,7063,10844,29531,2950,14837,66869,4560,7251,417,1789,8258,79132,2290,세곡동
209,9904,4244,7386,3480,1003,13439,5411,3792,5270,15552,585,14685,78611,1095,504976,8425,441,11285,95590,90067,18795,4520,1095,1898,105977,275948,34477,65887,5657,12056,31107,1029,7160,52176,7767,19386,소공동
210,2655,576,1298,11723,933,40878,801,430,984,2136,1544,1107,4175,518,20664,739,879,718,4528,5350,1115,9678,1181,4515,4215,12837,1593,4571,17365,1599,2490,1810,1024,2233,23213,1310,송정동
211,5423,3404,3430,34820,2142,125929,2722,1843,2864,4834,4440,2625,27597,2381,84669,2032,3049,2629,25907,57388,6851,23333,4673,8007,11177,48473,5288,31629,49069,6931,31503,4903,7254,25023,75586,6695,송중동
212,4746,3334,2372,32884,2252,118959,1898,1814,2268,4451,4011,2939,25805,2581,101569,1689,3039,2291,20629,44208,5435,23648,6526,7952,11706,51776,5487,22860,47642,5786,23567,5793,7057,14649,71264,6028,송천동
213,5063,2776,2877,27198,1864,116433,1975,1754,2546,5013,3887,3004,24746,1914,73244,2166,2526,2467,41183,44578,6213,25410,3986,7880,13334,43932,5598,43275,42544,6231,28334,3901,7515,26396,70608,6593,송파1동
214,2524,1482,1051,18034,1238,61687,1020,1545,1520,2274,2320,1312,11481,1523,47131,900,1144,1762,9646,14237,2048,18413,2237,4275,6815,21485,2696,8615,30917,2742,7101,2484,3535,3917,35592,2577,송파2동
215,2343,1377,1547,18263,416,66525,1123,625,714,1873,1558,1438,11820,397,40630,885,1453,959,5171,9168,1624,11012,633,3280,5606,18719,2079,5626,25108,2933,5090,835,4789,4202,38726,2943,수궁동
216,2817,1124,2726,12811,779,46393,1540,1381,1790,2140,1373,1502,8730,652,22766,1104,899,1489,7646,12217,2571,9559,944,2655,5532,20025,3082,7979,19039,2247,5167,1173,1965,6285,25257,2284,수색동
217,6855,3955,4410,14275,679,46283,3533,2225,1631,9325,2361,4041,44987,764,117675,4011,1364,2436,20643,42690,5146,9727,771,2573,19164,56009,3410,42024,21376,3721,19583,584,2678,22758,28256,1863,수서동
218,2725,2462,1394,17751,1082,54444,1023,1359,1176,2560,2102,1168,12977,1253,37822,1182,1474,1209,7916,16835,2269,12916,2369,4084,5010,21779,2520,8189,24705,2648,7166,1842,2492,3889,32035,2357,수유1동
219,3953,2686,1872,30101,1742,91633,1634,1123,1521,3255,5068,1731,15554,1915,32696,1192,2564,1228,12986,28686,2991,19286,4554,6094,6035,24715,2417,15500,40422,3787,15444,3313,4321,7412,53366,3624,수유2동
220,4579,4430,3417,25249,1756,87336,1908,2007,2182,4807,3123,2759,26715,2115,76031,2398,2293,2059,25629,58444,6700,16076,5152,6499,11623,50145,4852,36508,34786,6529,41780,4146,11847,30723,56657,7922,수유3동
221,1402,1208,1133,8056,934,30511,458,520,992,1273,1071,745,7722,1303,22127,591,936,780,5571,11895,1582,6237,2280,2734,2668,10751,1473,6001,12925,1409,4632,1912,1830,3887,18192,2004,숭인1동
222,3167,1874,2156,12584,1630,51591,1602,1790,1690,2789,1667,1987,14652,1501,70602,1489,1101,2353,17951,30758,4553,11371,2572,4501,11392,47479,5167,12592,19355,3615,8019,2825,4133,6643,29580,4044,숭인2동
223,4485,3298,3470,20405,1249,79458,2746,1781,3412,4458,2574,2912,25944,1787,66377,2374,2079,2675,16688,45783,5574,12960,3600,4949,10325,39583,3728,20251,27926,5896,24523,2545,7497,16939,50996,6027,시흥1동
224,1903,1231,1150,15860,443,55729,826,706,1002,1416,1477,884,7671,454,21410,1059,1343,973,4961,10277,1361,11438,578,3610,3266,11209,1283,4537,25442,1717,4695,804,3023,1815,31528,1461,시흥2동
225,1949,704,1038,9275,388,25840,1340,376,727,1325,959,1488,5714,406,34074,762,609,1217,3725,5814,1151,5328,491,1591,5819,20492,1708,3308,12347,1653,1582,492,695,2211,15081,1077,시흥3동
226,1637,716,626,20943,753,66179,854,313,673,1448,2524,974,5767,587,12310,620,1787,667,4316,7793,1345,13150,1264,4091,2474,8836,1296,5084,27480,2076,3592,1863,1451,2273,38525,1614,시흥4동
227,1982,1267,1059,13327,800,42094,767,607,924,1570,1333,726,7017,729,12500,714,1228,614,4796,10941,1409,7868,1556,2598,2064,9458,1166,5276,15790,1772,5246,1648,2085,2903,24995,1826,시흥5동
228,3918,2279,3252,24310,1419,102313,1626,1279,2019,3250,3058,1885,15504,1442,33667,1700,2146,1522,10738,17105,2657,17933,2553,5308,6734,22690,2221,11653,34270,3286,8818,2797,3216,8837,60548,3149,신길1동
229,2209,1301,1134,14311,1236,49070,994,859,1321,1869,1757,916,7819,1309,17664,829,1329,780,6525,11750,1559,10414,3125,3508,3248,11908,1518,7030,20441,2264,6177,3186,2393,3233,29576,2143,신길3동
230,1824,1043,1028,13837,994,43525,1013,623,1394,1300,1648,704,4954,837,12062,637,1140,758,5328,9896,1247,8795,2260,3000,2611,8614,1276,5713,18765,2031,4954,2182,1859,2878,25232,2020,신길4동
231,1583,1619,1352,8137,791,25398,708,565,680,1277,915,733,7602,1094,19542,664,779,867,3896,6710,933,5691,1377,1734,2095,8217,1053,4341,11744,1188,4127,1478,1042,2625,15352,1185,신길5동
232,5014,3523,3953,28585,1944,107228,2040,1996,2890,3535,4507,1574,17495,1763,42198,1623,2918,1761,13406,26526,3363,20039,4437,6324,6984,26068,3135,15839,40166,4929,15186,3743,5138,10409,64275,5101,신길6동
233,2594,1599,2229,15840,1360,60582,1461,1079,2551,2450,2215,1108,12321,1286,26168,958,1338,1282,8269,17311,1929,13370,2662,3212,4536,15149,2047,8821,25494,2977,9119,3315,2778,5478,36560,3079,신길7동
234,6175,2917,3129,37575,1935,130371,3433,2796,2090,5468,4618,3406,31249,1792,83399,2604,3099,2457,18663,39046,4874,25348,3775,7625,14440,55909,5093,19550,53027,6295,18933,3577,4905,11879,74623,4152,신내1동
235,2270,2324,1073,21383,1122,72307,1025,1187,1084,2474,2846,1246,14413,1434,40348,1136,1793,1203,9243,22052,2114,16221,2387,3791,6550,21660,2674,8716,32193,2858,11736,2575,4992,4979,42193,3120,신내2동
236,1730,1011,1115,12517,1356,45024,1101,1008,1461,1708,1586,1329,7529,1273,38085,813,1301,1363,8190,14007,2315,9438,2855,3562,4444,17596,2572,10237,19244,2731,7476,3427,3712,7014,27741,3857,신당5동
237,8607,5302,8352,14493,3241,62998,4232,3941,5487,7523,2419,4089,37058,2602,120585,4206,2779,4040,23558,28938,6419,11223,2580,5851,17967,65977,7163,26438,18665,8837,17811,3032,16997,19365,43881,11736,신당동
