,출근출발_EE,출근출발_EH,출근출발_EW,출근출발_HE,출근출발_HH,출근출발_HW,출근출발_WE,출근출발_WH,출근출발_WW,출근도착_EE,출근도착_EH,출근도착_EW,출근도착_HE,출근도착_HH,출근도착_HW,출근도착_WE,출근도착_WH,출근도착_WW,퇴근출발_EE,퇴근출발_EH,퇴근출발_EW,퇴근출발_HE,퇴근출발_HH,퇴근출발_HW,퇴근출발_WE,퇴근출발_WH,퇴근출발_WW,퇴근도착_EE,퇴근도착_EH,퇴근도착_EW,퇴근도착_HE,퇴근도착_HH,퇴근도착_HW,퇴근도착_WE,퇴근도착_WH,퇴근도착_WW,읍면동
281,5221,3827,2800,33612,1446,109663,2278,1714,1803,5497,4395,3106,29754,1516,88490,2506,2754,2042,33781,54907,6536,36107,2360,8763,14310,53320,4012,31114,60615,6166,22877,2969,4849,14879,71473,3980,연희동
282,2190,1583,1142,14975,1129,55097,841,1181,1352,2072,1560,1235,14028,1104,44896,792,935,1653,11520,18698,2105,13858,2119,3062,6193,24719,3308,11124,25432,2346,10703,2405,3009,6298,34352,2730,염리동
283,4062,2596,2195,24311,932,104024,2204,1731,2800,3779,2588,2438,20192,1319,63401,1610,1954,1950,16507,28426,3330,23145,2788,5245,10595,42516,3809,16776,45026,4154,13099,2196,3026,9747,66779,3577,염창동
284,9472,4232,8871,29380,1642,140975,4283,3646,3784,9086,3475,7670,49138,1840,246136,4547,2023,4922,65218,144224,16545,24596,4430,6390,39598,167229,10569,70092,44415,8554,68227,3733,10024,63440,87784,9613,영등포동
285,2888,1359,1764,15661,1108,63848,926,702,1366,2987,1618,1252,12231,1008,33300,1220,1343,1240,19018,29808,3602,11293,2664,3434,4393,18545,2473,19194,22839,2867,12686,2422,3205,11715,40973,3158,영등포본동
286,6081,3402,3340,38677,1688,122948,3110,2307,3006,4999,5276,2927,27288,1532,73375,1853,2966,2080,17804,35166,4144,31324,2383,8009,11793,41216,3861,20562,66405,5949,18884,3123,5452,9801,77512,3920,오금동
287,1845,1054,1374,11720,518,47672,572,427,825,1728,1055,581,9280,733,13066,773,1121,587,5570,14163,1438,7555,1867,2982,1984,9569,1220,6813,16035,1536,6834,1190,1886,4081,31615,1481,오류1동
288,4959,1566,3164,36907,983,154605,3059,1638,2839,3103,3113,2186,15313,1223,36386,1411,3001,1394,10830,22887,2734,18776,1559,6154,5794,26265,2096,12309,48011,4546,8780,1766,2934,8348,96057,3668,오류2동
289,3731,4474,2838,12287,731,32512,1418,1707,1768,2800,2247,1474,15152,563,26237,1204,706,956,11219,23269,2348,10908,826,2716,5443,18318,1602,9747,19058,2246,9905,708,1560,5559,19151,1574,오륜동
290,4005,1989,3044,25297,1317,81730,1130,1562,1435,3195,3032,1228,16152,1474,32759,1106,1397,948,13794,24592,2393,20065,1882,4610,5166,20036,1348,14599,42379,2982,9802,2029,2846,7260,53398,2027,옥수동
