호선명,지하철역,반경 내 학교 수
6호선,버티고개,9
6호선,보문,11
6호선,봉화산,10
6호선,불광,7
6호선,삼각지,3
6호선,상수,3
6호선,상월곡,5
6호선,새절,8
6호선,석계,10
6호선,신내,7
6호선,신당,15
6호선,안암,9
6호선,약수,11
6호선,역촌,7
6호선,연신내,10
6호선,월곡,8
6호선,월드컵경기장,6
6호선,응암,6
6호선,이태원,4
6호선,증산,9
6호선,창신,13
6호선,청구,15
6호선,태릉입구,8
6호선,한강진,6
6호선,합정,2
6호선,화랑대,12
6호선,효창공원앞,8
7호선,가산디지털단지,2
7호선,강남구청,6
7호선,건대입구,11
7호선,고속터미널,10
7호선,공릉,11
7호선,군자,6
7호선,남구로,4
7호선,남성,10
7호선,내방,6
7호선,노원,15
7호선,논현,4
7호선,대림,15
7호선,도봉산,7
7호선,뚝섬유원지,6
7호선,마들,19
7호선,먹골,10
7호선,면목,6
7호선,반포,9
7호선,보라매,15
7호선,사가정,8
7호선,상도,7
7호선,상봉,8
7호선,수락산,9
7호선,숭실대입구,10
7호선,신대방삼거리,12
7호선,신풍,14
7호선,어린이대공원,6
7호선,온수,8
7호선,용마산,6
7호선,이수,9
7호선,장승배기,9
7호선,중계,21
7호선,중곡,8
7호선,중화,9
7호선,천왕,8
7호선,청담,8
7호선,태릉입구,8
7호선,하계,20
7호선,학동,3
8호선,가락시장,6
8호선,강동구청,10
8호선,몽촌토성,8
8호선,문정,10
8호선,복정,0
8호선,석촌,7
8호선,송파,10
8호선,암사,8
8호선,잠실,6
8호선,장지,6
8호선,천호,7
9호선,가양,15
9호선,개화,3
9호선,고속터미널,10
9호선,공항시장,7
9호선,구반포,9
9호선,국회의사당,1
9호선,김포공항,3
9호선,노들,4
9호선,노량진,2
9호선,당산,9
9호선,동작,1
9호선,둔촌오륜,9
9호선,등촌,12
9호선,마곡나루,3
9호선,봉은사,5
9호선,사평,7
9호선,삼성중앙,5
9호선,삼전,6
9호선,샛강,7
9호선,석촌,7
9호선,석촌고분,6
9호선,선유도,11
9호선,선정릉,3
9호선,송파나루,7
9호선,신논현,7
9호선,신목동,5
9호선,신반포,10
9호선,신방화,11
9호선,양천향교,10
9호선,언주,2
9호선,여의도,5
9호선,염창,9
9호선,올림픽공원,10
9호선,종합운동장,7
9호선,중앙보훈병원,5
9호선,증미,14
9호선,한성백제,7
9호선,흑석,7
