어린이집명,운영현황,주소,행정동,위도,경도
하하호호어린이집,정상,서울특별시 강서구 공항대로75길 30 삼정그린코아 102-106,염창동,37.54785677,126.8744852
하늘누리어린이집,정상,서울특별시 강서구 남부순환로17길 58 1층,발산1동,37.54744128,126.8243614
이레어린이집,정상,서울특별시 강서구 금낭화로11길 48 (방화동 583-37),방화2동,37.56950854,126.8100263
아란어린이집,정상,서울특별시 강서구 양천로71가길 43,염창동,37.55225398,126.8746352
하울어린이집,정상,서울특별시 강서구 등촌로53길 39 103동 107호,등촌2동,37.54956453,126.860444
굿모닝어린이집,정상,서울특별시 강서구 화곡로68길 33 라인아파트101-104,등촌1동,37.5592643,126.8557917
보배어린이집,정상,서울특별시 강서구 강서로33가길 13-13 (화곡3동 1050-26),화곡3동,37.54213386,126.838433
뚜띠어린이집,정상,"서울특별시 강서구 허준로 139 (가양동, 강변아파트)",가양2동,37.56461212,126.8562786
쥬빌리어린이집,정상,서울특별시 강서구 방화대로23길 60-15 (방화1동 611-165),방화1동,37.56477123,126.8131535
예꿈어린이집,정상,서울특별시 강서구 월정로 160 화곡대림아파트 1동 104호 (화곡동 361-1),화곡1동,37.53402085,126.8375371
꼬마궁어린이집,정상,서울특별시 강서구 등촌로13바길 49-12,화곡4동,37.53522639,126.8574975
아기천사어린이집,정상,서울특별시 강서구 국회대로7길 91 신도금잔디아파트 104호,화곡2동,37.52940501,126.8557793
별고래어린이집,휴지,서울특별시 강서구 곰달래로25길 37,화곡8동,37.53231635,126.8487412
동성스마일어린이집,정상,서울특별시 강서구 강서로68길 108 동성아파트 106-106,등촌3동,37.56466725,126.8457024
진영꼬마숲어린이집,정상,서울특별시 강서구 곰달래로27길 6 301호,화곡8동,37.53105978,126.8505586
사랑어린이집,정상,서울특별시 강서구 허준로 23 한강타운 105동 101호,가양1동,37.57121146,126.843592
주영어린이집,정상,서울특별시 강서구 등촌로39길 42,등촌2동,37.54643326,126.8603418
버클리 어린이집,정상,서울특별시 강서구 강서로47바길 21,발산1동,37.55247286,126.8301226
밀알몬테소리어린이집,정상,서울특별시 강서구 공항대로59길 82,등촌1동,37.55547391,126.8635379
뽀로로와친구들 어린이집,정상,서울특별시 강서구 초록마을로16길 24 (화곡동),화곡본동,37.54109566,126.84928
아띠어린이집,정상,서울특별시 강서구 까치산로4다길 20 (화곡동),화곡본동,37.53993071,126.8452771
리틀킹어린이집,정상,서울특별시 강서구 공항대로 607,염창동,37.54748216,126.872407
아이린어린이집,정상,서울특별시 강서구 초록마을로 157-19,화곡8동,37.53553542,126.8476017
잼잼서밋어린이집,정상,서울특별시 강서구 양천로14길 118 우림상가 1층 (방화동),방화2동,37.56871328,126.8082169
친환경황토나라어린이집,휴지,서울특별시 강서구 금낭화로1길 9-6,방화2동,37.56575123,126.8109908
튼튼어린이집,재개,서울특별시 강서구 등촌로39라길 21 (등촌동),등촌2동,37.5468903,126.8613782
가양아이사랑어린이집,휴지,서울특별시 강서구 양천로 507 108동 101호(가양동,가양3동,37.5603957,126.8573626
꿈꾸는어린이집,정상,서울특별시 강서구 금낭화로24가길 21 (방화동),방화3동,37.57904334,126.8151607
예솔어린이집,정상,서울특별시 강서구 강서로18다길 33,화곡8동,37.53560357,126.8468607
에반어린이집,정상,서울특별시 강서구 강서로12길 23-7,화곡8동,37.53211181,126.8479586
드림어린이집,정상,서울특별시 강서구 수명로2길 50 (내발산동),발산1동,37.54944029,126.826284
BeBe스쿨어린이집,정상,서울특별시 강서구 초록마을로 146 102호,화곡8동,37.53687766,126.8483205
꿈비어린이집,정상,서울특별시 강서구 수명로2가길 22 마곡수명산파크7단지 내 꿈비어린이집,발산1동,37.54766287,126.8219177
꿈땅어린이집,정상,서울특별시 강서구 우장산로8길 42 천우네오젠아파트 101호 (내발산동),우장산동,37.55286625,126.8405335
민들레어린이집,정상,서울특별시 강서구 허준로 175 613동 103호(가양동,가양3동,37.56375809,126.8592894
성산어린이집,정상,서울특별시 강서구 개화동로23길 111,방화2동,37.56529764,126.8114272
