학교종류명,학교명,주소,행정동,위도,경도
초등학교,서울신곡초등학교,서울특별시 강서구 등촌로13자길 42-14,화곡4동,37.53909546,126.8560096
초등학교,서울수명초등학교,서울특별시 강서구 수명로1길 84,발산1동,37.55277267,126.8238794
초등학교,서울송화초등학교,서울특별시 강서구 방화대로34길 2,방화1동,37.56815047,126.8180329
초등학교,서울송정초등학교,서울특별시 강서구 공항대로3길 18,공항동,37.56223089,126.8102813
초등학교,서울삼정초등학교,서울특별시 강서구 금낭화로 222,방화3동,37.58050843,126.8104937
초등학교,서울백석초등학교,서울특별시 강서구 공항대로 491,등촌1동,37.55364765,126.8624258
초등학교,서울방화초등학교,서울특별시 강서구 양천로6길 92,방화2동,37.56870409,126.8074982
초등학교,서울발산초등학교,서울특별시 강서구 강서로45길 113,발산1동,37.55026244,126.8309944
초등학교,서울등현초등학교,서울특별시 강서구 화곡로65길 124,등촌3동,37.56145118,126.8475984
초등학교,서울등촌초등학교,서울특별시 강서구 등촌로39길 71,등촌2동,37.54761422,126.8579422
초등학교,서울등원초등학교,서울특별시 강서구 화곡로65길 90,등촌3동,37.55981354,126.850069
초등학교,서울등양초등학교,서울특별시 강서구 강서로56나길 140,등촌3동,37.56494704,126.8447602
초등학교,서울등서초등학교,서울특별시 강서구 화곡로58길 86,화곡6동,37.55188439,126.8550381
초등학교,서울등명초등학교,서울특별시 강서구 강서로56나길 34,등촌3동,37.56089445,126.8423822
초등학교,서울등마초등학교,서울특별시 강서구 등촌로35길 12,등촌2동,37.54204371,126.8616672
초등학교,서울내발산초등학교,서울특별시 강서구 강서로46길 23,우장산동,37.55088255,126.8381642
초등학교,서울공항초등학교,서울특별시 강서구 마곡서1로 68,방화1동,37.56311072,126.8213169
초등학교,서울공진초등학교,서울특별시 강서구 마곡서로 33,공항동,37.55783088,126.8228061
초등학교,서울개화초등학교,서울특별시 강서구 양천로 11,방화1동,37.57392624,126.8046942
초등학교,서울가양초등학교,서울 강서구 허준로 186,가양3동,37.56221719,126.8585216
초등학교,서울가곡초등학교,서울특별시 강서구 공항대로36길 74,발산1동,37.55570761,126.8361031
고등학교,서울신정고등학교,서울특별시 강서구 등촌로13아길 20,화곡4동,37.53841175,126.8571716
특수학교,서울서진학교,서울특별시 강서구 양천로55길 22,가양2동,37.56547682,126.8506223
고등학교,서울항공비즈니스고등학교,서울특별시 강서구 방화대로34길 13,방화1동,37.56921778,126.8170408
평생학교(중)-2년6학기,학력인정 성지중학교(2년제),서울특별시 강서구 화곡로 182,화곡본동,37.54201393,126.8418906
평생학교(고)-2년6학기,학력인정 성지고등학교(2년제),서울특별시 강서구 화곡로 182,화곡본동,37.54201393,126.8418906
고등학교,화곡보건경영고등학교,서울특별시 강서구 강서로45길 70,발산1동,37.5484056,126.8326573
고등학교,동양고등학교,서울특별시 강서구 허준로 50,가양1동,37.56903024,126.8468888
고등학교,수명고등학교,서울특별시 강서구 수명로2길 15,발산1동,37.54976186,126.8247662
고등학교,경복비즈니스고등학교,서울특별시 강서구 화곡로 379,등촌3동,37.55809726,126.8526703
고등학교,세현고등학교,서울특별시 강서구 허준로 227,가양3동,37.56043066,126.8636211
고등학교,등촌고등학교,서울특별시 강서구 공항대로39길 115,등촌3동,37.56294522,126.8450461
특수학교,교남학교,서울특별시 강서구 까치산로22길 38,화곡6동,37.54797109,126.852349
고등학교,영등포공업고등학교,서울특별시 강서구 허준로5길 15,가양2동,37.56983562,126.8500283
고등학교,강서공업고등학교,서울특별시 강서구 방화대로47길 9,방화3동,37.57603409,126.8161817
고등학교,화곡고등학교,서울특별시 강서구 강서로45길 69,발산1동,37.54793611,126.8315357
고등학교,한서고등학교,서울특별시 강서구 양천로11길 47,방화1동,37.5747927,126.8081439
고등학교,한광고등학교,서울특별시 강서구 등촌로13길 110,화곡4동,37.53884371,126.8579393
고등학교,영일고등학교,서울특별시 강서구 등촌로51가길 26,등촌2동,37.54728726,126.8620589
고등학교,명덕외국어고등학교,서울특별시 강서구 강서로47길 34-10,발산1동,37.55386948,126.8339773
고등학교,명덕여자고등학교,서울특별시 강서구 강서로47길 34-10,발산1동,37.55386948,126.8339773
고등학교,명덕고등학교,서울특별시 강서구 강서로47길 34-10,발산1동,37.55386948,126.8339773
고등학교,마포고등학교,서울특별시 강서구 화곡로 403,등촌3동,37.56002771,126.8528649
고등학교,덕원예술고등학교,서울특별시 강서구 강서로45길 91-44,발산1동,37.54862258,126.8290245
고등학교,덕원여자고등학교,서울특별시 강서구 강서로45길 91-44,발산1동,37.54862258,126.8290245
고등학교,대일고등학교,서울특별시 강서구 등촌로 105,등촌2동,37.5394887,126.8634031
고등학교,경복여자고등학교,서울특별시 강서구 화곡로63길 40,등촌3동,37.55782183,126.8505957
고등학교,공항고등학교,서울특별시 강서구 방화대로34길 43,방화1동,37.57046109,126.8185198
