Index,호선명,지하철역,위도,경도
58,01호선,시청,37.564718,126.977108
59,01호선,신길,37.517122,126.917169
60,01호선,신도림,37.508725,126.891295
61,01호선,신설동,37.575297,127.025087
62,01호선,신이문,37.601854,127.067325
63,01호선,신창,36.769502,126.951108
64,01호선,쌍용,36.793759,127.1214
65,01호선,아산,36.792053,127.104361
66,01호선,안양,37.401592,126.922874
67,01호선,양주,37.774381,127.044708
68,01호선,역곡,37.485178,126.811502
69,01호선,영등포,37.515504,126.907628
70,01호선,오류동,37.494526,126.845365
71,01호선,오산,37.145885,127.06672
72,01호선,오산대,37.168953,127.063197
73,01호선,온수,37.492258,126.823388
74,01호선,온양온천,36.780483,127.003249
75,01호선,외대앞,37.596073,127.063549
76,01호선,용산,37.529849,126.964561
77,01호선,월계,37.633212,127.058831
78,01호선,의왕,37.320852,126.948217
79,01호선,의정부,37.738415,127.045958
80,01호선,인천,37.476691,126.616936
81,01호선,제기동,37.578103,127.034893
82,01호선,제물포,37.466769,126.656666
83,01호선,종각,37.570161,126.982923
84,01호선,종로3가,37.571607,126.991806
85,01호선,종로5가,37.570926,127.001849
86,01호선,주안,37.464941,126.679923
87,01호선,중동,37.486562,126.764843
88,01호선,지제,37.0188,127.070444
89,01호선,지행,37.892334,127.055716
90,01호선,직산,36.870593,127.143904
91,01호선,진위,37.109447,127.062278
92,01호선,창동,37.653166,127.047731
93,01호선,천안,36.810005,127.146826
94,01호선,청량리,37.580178,127.046835
95,01호선,평택,36.990726,127.085159
96,01호선,화서,37.283862,126.989627
97,01호선,회기,37.58946,127.057583
98,01호선,회룡,37.724846,127.046895
1,02호선,강남,37.497175,127.027926
2,02호선,강변,37.535095,127.094681
3,02호선,건대입구,37.540693,127.07023
4,02호선,교대,37.493415,127.01408
5,02호선,구로디지털단지,37.485266,126.901401
6,02호선,구의,37.537077,127.085916
7,02호선,까치산,37.531768,126.846683
8,02호선,낙성대,37.47693,126.963693
9,02호선,당산,37.53438,126.902281
10,02호선,대림,37.49297,126.895801
11,02호선,도림천,37.514287,126.882768
12,02호선,동대문역사문화공원,37.565138,127.007896
13,02호선,뚝섬,37.547184,127.047367
14,02호선,문래,37.517933,126.89476
15,02호선,방배,37.481426,126.997596
16,02호선,봉천,37.482362,126.941892
17,02호선,사당,37.47653,126.981685
18,02호선,삼성,37.508844,127.06316
19,02호선,상왕십리,37.564354,127.029354
20,02호선,서울대입구,37.481247,126.952739
21,02호선,서초,37.491897,127.007917
22,02호선,선릉,37.504503,127.049008
23,02호선,성수,37.544581,127.055961
24,02호선,시청,37.564718,126.977108
25,02호선,신답,37.57004,127.046481
26,02호선,신당,37.565972,127.01782
27,02호선,신대방,37.487462,126.913149
28,02호선,신도림,37.508725,126.891295
29,02호선,신림,37.484201,126.929715
30,02호선,신설동,37.575297,127.025087
31,02호선,신정네거리,37.520074,126.852912
32,02호선,신촌,37.555134,126.936893
33,02호선,아현,37.557345,126.956141
34,02호선,양천구청,37.512398,126.865819
35,02호선,역삼,37.500622,127.036456
36,02호선,영등포구청,37.52497,126.895951
37,02호선,왕십리,37.561533,127.037732
38,02호선,용답,37.561904,127.050899
39,02호선,용두,37.574028,127.038091
40,02호선,을지로3가,37.566295,126.99191
41,02호선,을지로4가,37.566941,126.998079
42,02호선,을지로입구,37.566014,126.982618
43,02호선,이대,37.556733,126.946013
44,02호선,잠실,37.51395,127.102234
45,02호선,잠실나루,37.520733,127.10379
46,02호선,잠실새내,37.511687,127.086162
47,02호선,종합운동장,37.510997,127.073642
48,02호선,충정로,37.559973,126.963672
49,02호선,한양대,37.555273,127.043655
50,02호선,합정,37.549463,126.913739
51,02호선,홍대입구,37.557192,126.925381
1,03호선,가락시장,37.492522,127.118234
2,03호선,경복궁,37.575762,126.97353
3,03호선,경찰병원,37.495918,127.12454
4,03호선,고속터미널,37.50481,127.004943
5,03호선,교대,37.493415,127.01408
6,03호선,구파발,37.636763,126.918821
7,03호선,금호,37.548034,127.015872
8,03호선,남부터미널,37.485013,127.016189
9,03호선,녹번,37.600927,126.935756
10,03호선,대곡,37.631626,126.811024
11,03호선,대청,37.493514,127.079532
12,03호선,대치,37.494612,127.063642
13,03호선,대화,37.676087,126.747569
14,03호선,도곡,37.490858,127.055381
15,03호선,독립문,37.574571,126.957748
16,03호선,동대입구,37.559052,127.005602
17,03호선,마두,37.652206,126.77762
18,03호선,매봉,37.486947,127.046769
19,03호선,무악재,37.582299,126.950291
20,03호선,백석,37.643114,126.78787
21,03호선,불광,37.610469,126.929887
22,03호선,삼송,37.653083,126.895558
23,03호선,수서,37.487371,127.10188
24,03호선,신사,37.516334,127.020114
25,03호선,안국,37.576477,126.985443
26,03호선,압구정,37.527072,127.028461
27,03호선,약수,37.55434,127.010655
28,03호선,양재,37.484147,127.034631
29,03호선,연신내,37.619001,126.921008
30,03호선,오금,37.502162,127.128111
31,03호선,옥수,37.540685,127.017965
32,03호선,원당,37.653324,126.843041
33,03호선,원흥,37.650658,126.872642
34,03호선,을지로3가,37.566295,126.99191
35,03호선,일원,37.483681,127.08439
36,03호선,잠원,37.512759,127.01122
37,03호선,정발산,37.659477,126.773359
38,03호선,종로3가,37.571607,126.991806
39,03호선,주엽,37.670072,126.761334
40,03호선,지축,37.648048,126.913951
41,03호선,충무로,37.561243,126.99428
42,03호선,학여울,37.496663,127.070594
43,03호선,홍제,37.589066,126.943736
44,03호선,화정,37.634592,126.83265
1,04호선,경마공원,37.443885,127.007888
2,04호선,고잔,37.316777,126.823249
3,04호선,과천,37.433021,126.996568
4,04호선,금정,37.372221,126.943429
5,04호선,길음,37.603407,127.025053
6,04호선,남태령,37.463873,126.989134
7,04호선,노원,37.655128,127.061368
8,04호선,당고개,37.670272,127.079066
9,04호선,대공원,37.435675,127.006523
10,04호선,대야미,37.328467,126.917332
11,04호선,동대문,37.57142,127.009745
12,04호선,동대문역사문화공원,37.565138,127.007896
13,04호선,동작,37.502971,126.979306
14,04호선,명동,37.560989,126.986325
15,04호선,미아,37.62667,127.025983
16,04호선,미아사거리,37.613292,127.030053
17,04호선,반월,37.312212,126.903524
18,04호선,범계,37.389793,126.950806
19,04호선,사당,37.47653,126.981685
20,04호선,산본,37.358101,126.933274
21,04호선,삼각지,37.534777,126.97311
22,04호선,상계,37.660878,127.073572
23,04호선,상록수,37.302795,126.866489
24,04호선,서울,37.554648,126.972559
25,04호선,선바위,37.451673,127.002303
26,04호선,성신여대입구,37.592624,127.016403
27,04호선,수리산,37.349801,126.925365
28,04호선,수유,37.638052,127.025732
29,04호선,숙대입구,37.54456,126.972106
30,04호선,신길온천,37.338212,126.765844
31,04호선,신용산,37.52917,126.967894
32,04호선,쌍문,37.648627,127.034709
33,04호선,안산,37.327082,126.788532
34,04호선,오이도,37.362357,126.738714
35,04호선,이촌,37.522272,126.974345
36,04호선,인덕원,37.401553,126.976715
37,04호선,정부과천청사,37.426513,126.98978
38,04호선,정왕,37.351735,126.742989
39,04호선,중앙,37.315941,126.838573
40,04호선,창동,37.653166,127.047731
41,04호선,초지,37.320646,126.805913
42,04호선,총신대입구,37.486263,126.981989
43,04호선,충무로,37.561243,126.99428
44,04호선,평촌,37.394287,126.963883
45,04호선,한대앞,37.309689,126.85344
46,04호선,한성대입구,37.588458,127.006221
47,04호선,혜화,37.582336,127.001844
48,04호선,회현,37.558514,126.978246
1,05호선,강동,37.535804,127.132481
2,05호선,개롱,37.498079,127.13482
3,05호선,개화산,37.572399,126.806171
4,05호선,거여,37.493105,127.14415
5,05호선,고덕,37.555004,127.154151
6,05호선,공덕,37.544018,126.951592
7,05호선,광나루,37.545303,127.10357
8,05호선,광화문,37.571026,126.976669
9,05호선,군자,37.557121,127.079542
10,05호선,굽은다리,37.545477,127.142853
11,05호선,길동,37.537801,127.140004
12,05호선,김포공항,37.562434,126.801058
13,05호선,까치산,37.531768,126.846683
14,05호선,답십리,37.566747,127.052704
15,05호선,동대문역사문화공원,37.565138,127.007896
16,05호선,둔촌동,37.527788,127.136248
17,05호선,마곡,37.560183,126.825448
18,05호선,마장,37.5661,127.042973
19,05호선,마천,37.49499,127.152781
20,05호선,마포,37.539574,126.945932
21,05호선,명일,37.55137,127.143999
22,05호선,목동,37.526065,126.864931
23,05호선,미사,37.563118,127.192932
24,05호선,발산,37.558598,126.837668
25,05호선,방이,37.508857,127.126133
26,05호선,방화,37.577446,126.812741
27,05호선,상일동,37.556712,127.166417
28,05호선,서대문,37.565773,126.966641
29,05호선,송정,37.561184,126.811973
30,05호선,신금호,37.554548,127.020331
31,05호선,신길,37.517122,126.917169
32,05호선,신정,37.524997,126.856191
33,05호선,아차산,37.551691,127.089761
34,05호선,애오개,37.553736,126.95682
35,05호선,양평,37.492832,127.491814
36,05호선,여의나루,37.527098,126.932901
37,05호선,여의도,37.521624,126.924191
38,05호선,영등포구청,37.52497,126.895951
39,05호선,영등포시장,37.522669,126.905139
40,05호선,오금,37.502162,127.128111
41,05호선,오목교,37.524496,126.875181
42,05호선,올림픽공원,37.516078,127.130848
43,05호선,왕십리,37.561533,127.037732
44,05호선,우장산,37.548768,126.836318
45,05호선,을지로4가,37.566941,126.998079
46,05호선,장한평,37.56144,127.064623
47,05호선,종로3가,37.571607,126.991806
48,05호선,천호,37.538397,127.123572
49,05호선,청구,37.560245,127.013828
50,05호선,충정로,37.559973,126.963672
51,05호선,하남풍산,37.5519342,127.2037706
52,05호선,행당,37.557322,127.029476
53,05호선,화곡,37.541513,126.840461
1,06호선,고려대,37.590508,127.036296
2,06호선,공덕,37.544018,126.951592
3,06호선,광흥창,37.547456,126.931993
4,06호선,구산,37.611377,126.91727
5,06호선,녹사평,37.534675,126.986695
6,06호선,대흥,37.547771,126.942069
7,06호선,독바위,37.618456,126.933031
8,06호선,돌곶이,37.610537,127.056431
9,06호선,동묘앞,37.572627,127.016429
10,06호선,디지털미디어시티,37.576646,126.900984
11,06호선,마포구청,37.563515,126.903343
12,06호선,망원,37.556094,126.910052
13,06호선,버티고개,37.548013,127.007055
14,06호선,보문,37.585286,127.019381
15,06호선,봉화산,37.617283,127.091401
16,06호선,불광,37.610469,126.929887
17,06호선,삼각지,37.534777,126.97311
18,06호선,상수,37.547716,126.922852
19,06호선,상월곡,37.606377,127.048491
20,06호선,새절,37.591148,126.913629
21,06호선,석계,37.614805,127.065851
22,06호선,신내,37.612887,127.103218
23,06호선,신당,37.565972,127.01782
24,06호선,안암,37.586272,127.029005
25,06호선,약수,37.55434,127.010655
26,06호선,역촌,37.606021,126.922744
27,06호선,연신내,37.619001,126.921008
28,06호선,월곡,37.601948,127.041518
29,06호선,월드컵경기장,37.569532,126.899298
30,06호선,응암,37.598605,126.915577
31,06호선,이태원,37.534488,126.994302
32,06호선,증산,37.583876,126.909645
33,06호선,창신,37.579661,127.015241
34,06호선,청구,37.560245,127.013828
35,06호선,태릉입구,37.617983,127.07512
36,06호선,한강진,37.539631,127.001725
37,06호선,합정,37.549463,126.913739
38,06호선,화랑대,37.620064,127.084689
39,06호선,효창공원앞,37.539261,126.961351
1,07호선,가산디지털단지,37.481072,126.882343
2,07호선,강남구청,37.517186,127.04128
3,07호선,건대입구,37.540693,127.07023
4,07호선,고속터미널,37.50481,127.004943
5,07호선,공릉,37.625742,127.072896
6,07호선,광명사거리,37.479252,126.854876
7,07호선,군자,37.557121,127.079542
8,07호선,굴포천,37.506997,126.73128
9,07호선,까치울,37.506207,126.810939
10,07호선,남구로,37.486056,126.887249
11,07호선,남성,37.484596,126.971251
12,07호선,내방,37.487618,126.993513
13,07호선,노원,37.655128,127.061368
14,07호선,논현,37.511093,127.021415
15,07호선,대림,37.49297,126.895801
16,07호선,도봉산,37.689313,127.046222
17,07호선,뚝섬유원지,37.53154,127.066704
18,07호선,마들,37.66494,127.057675
19,07호선,먹골,37.610637,127.077725
20,07호선,면목,37.588579,127.087503
21,07호선,반포,37.508178,127.011727
22,07호선,보라매,37.499872,126.920428
23,07호선,부천시청,37.504631,126.763538
24,07호선,부천종합운동장,37.50538,126.797337
25,07호선,부평구청,37.508336,126.720548
26,07호선,사가정,37.580894,127.088478
27,07호선,삼산체육관,37.506411,126.742153
28,07호선,상도,37.502834,126.94791
29,07호선,상동,37.505781,126.753083
30,07호선,상봉,37.596362,127.085032
31,07호선,수락산,37.67785,127.055315
32,07호선,숭실대입구,37.496029,126.953822
33,07호선,신대방삼거리,37.499701,126.928276
34,07호선,신중동,37.503048,126.77596
35,07호선,신풍,37.50008,126.90993
36,07호선,어린이대공원,37.548014,127.074658
37,07호선,온수,37.492258,126.823388
38,07호선,용마산,37.573647,127.086727
39,07호선,이수,37.486263,126.981989
40,07호선,장승배기,37.504898,126.93915
41,07호선,장암,37.700109,127.053196
42,07호선,중계,37.644583,127.064303
43,07호선,중곡,37.565923,127.08432
44,07호선,중화,37.602545,127.079264
45,07호선,천왕,37.486637,126.838713
46,07호선,철산,37.47605,126.867911
47,07호선,청담,37.519365,127.05335
48,07호선,춘의,37.503663,126.787036
49,07호선,태릉입구,37.617983,127.07512
50,07호선,하계,37.636352,127.06799
51,07호선,학동,37.514229,127.031656
1,08호선,가락시장,37.492522,127.118234
2,08호선,강동구청,37.530341,127.120508
3,08호선,남한산성입구,37.451535,127.159816
4,08호선,단대오거리,37.44521,127.156866
5,08호선,모란,37.43213,127.129087
6,08호선,몽촌토성,37.517409,127.112359
7,08호선,문정,37.485855,127.1225
8,08호선,복정,37.470047,127.126662
9,08호선,산성,37.457122,127.149908
10,08호선,석촌,37.505431,127.106979
11,08호선,송파,37.499703,127.112183
12,08호선,수진,37.437428,127.140722
13,08호선,신흥,37.440918,127.147564
14,08호선,암사,37.55021,127.127562
15,08호선,잠실,37.51395,127.102234
16,08호선,장지,37.478703,127.126191
17,08호선,천호,37.538397,127.123572
1,09호선,가양,37.561391,126.854456
2,09호선,개화,37.578608,126.798153
3,09호선,고속터미널,37.50481,127.004943
4,09호선,공항시장,37.563726,126.810678
5,09호선,구반포,37.501364,126.987332
6,09호선,국회의사당,37.528105,126.917874
7,09호선,김포공항,37.562434,126.801058
8,09호선,노들,37.512887,126.953222
9,09호선,노량진,37.514219,126.942454
10,09호선,당산,37.53438,126.902281
11,09호선,동작,37.502971,126.979306
12,09호선,둔촌오륜,37.519296,127.138675
13,09호선,등촌,37.550632,126.865689
14,09호선,마곡나루,37.567336,126.829497
15,09호선,봉은사,37.514219,127.060245
16,09호선,사평,37.504206,127.015259
17,09호선,삼성중앙,37.513011,127.053282
18,09호선,삼전,37.504516,127.087439
19,09호선,샛강,37.517274,126.928422
20,09호선,석촌,37.505431,127.106979
21,09호선,석촌고분,37.5023874,127.0969415
22,09호선,선유도,37.53802,126.893525
23,09호선,선정릉,37.51098,127.043593
24,09호선,송파나루,37.510276,127.112224
25,09호선,신논현,37.504598,127.02506
26,09호선,신목동,37.544277,126.88308
27,09호선,신반포,37.503415,126.995925
28,09호선,신방화,37.567532,126.816601
29,09호선,양천향교,37.568381,126.841333
30,09호선,언주,37.507287,127.033868
31,09호선,여의도,37.521624,126.924191
32,09호선,염창,37.546936,126.874916
33,09호선,올림픽공원,37.516078,127.130848
34,09호선,종합운동장,37.510997,127.073642
35,09호선,중앙보훈병원,37.528879,127.148536
36,09호선,증미,37.557402,126.861939
37,09호선,한성백제,37.516421,127.116248
38,09호선,흑석,37.50877,126.963708
